"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","PIAAC_CATEGORY","Category","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Value","Flag Codes","Flags"
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",36,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.5,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",39,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.4,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",38,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.3,,
"AUS","Australia","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",38,,
"AUS","Australia","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.2,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",25,,
"AUS","Australia","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.7,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",29,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.6,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",31,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.2,,
"AUS","Australia","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",29,,
"AUS","Australia","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",0.7,,
"AUT","Austria","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",35,,
"AUT","Austria","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.6,,
"AUT","Austria","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",38,,
"AUT","Austria","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.3,,
"AUT","Austria","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",40,,
"AUT","Austria","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.4,,
"AUT","Austria","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","VALUE","Value","2012","2012",38,,
"AUT","Austria","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_HOURS_WORK_WEEK","Mean number of hours worked per week in the main job among employed adults","SE","SE","2012","2012",0.2,,
"AUT","Austria","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",30,,
"AUT","Austria","L0T2","Below upper secondary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",2.7,,
"AUT","Austria","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",37,,
"AUT","Austria","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.3,,
"AUT","Austria","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",49,,
"AUT","Austria","L5T8","Tertiary education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","SE","SE","2012","2012",1.7,,
"AUT","Austria","T","All levels of education","T","Total","Y25T64","25-64 years","T","Total","PIAAC_PERC_FLEX_WORK","Percentage of employed adults who report having a high or very high flexibility of working hours in their main job","VALUE","Value","2012","2012",38,,
