"COUNTRY","Country","YEAR","Year","ISC11","ISCED 2011","INDICATOR","Indicator","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,40.54657,,
"AUS","Australia","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,40.56143,,
"AUS","Australia","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,40.56143,,
"AUS","Australia","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,40.56639,,
"AUS","Australia","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,198.73002,,
"AUS","Australia","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,198.82419,,
"AUS","Australia","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,198.82419,,
"AUS","Australia","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,195.7147,,
"AUS","Australia","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,879.70789,,
"AUS","Australia","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,819.74742,,
"AUS","Australia","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,819.74742,,
"AUS","Australia","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_TEACH_HRS","Statutory net teaching time per school year, in hours (teachers)",,,"0","Units",,,624.38414,,
"AUS","Australia","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,1197.60315,,
"AUS","Australia","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,1194.76807,,
"AUS","Australia","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,1194.76807,,
"AUS","Australia","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_WORK_HRS_SCHL","Statutory working time required at school per school year, in hours (teachers)",,,"0","Units",,,838.88196,,
"AUS","Australia","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_WORK_HRS_TOT","Total statutory working time per school year, in hours (teachers)",,,"0","Units",,,,"z","Not applicable"
"AUS","Australia","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_WORK_HRS_TOT","Total statutory working time per school year, in hours (teachers)",,,"0","Units",,,,"z","Not applicable"
"AUS","Australia","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_WORK_HRS_TOT","Total statutory working time per school year, in hours (teachers)",,,"0","Units",,,,"z","Not applicable"
"AUS","Australia","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_WORK_HRS_TOT","Total statutory working time per school year, in hours (teachers)",,,"0","Units",,,,"z","Not applicable"
"AUT","Austria","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,38,,
"AUT","Austria","9999","Latest available year","L2_C4","Lower secondary general education  (ISCED2011 level 2 (general programmes))","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,38,,
"AUT","Austria","9999","Latest available year","L3_C4","Upper secondary general education (ISCED2011 level 3 (general programmes))","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,38,,
"AUT","Austria","9999","Latest available year","L0","Pre-primary education (ISCED2011 level 0)","STAT_TEACH_WKS","Number of weeks of teaching per school year (teachers)",,,"0","Units",,,,"m","Missing data"
"AUT","Austria","9999","Latest available year","L1","Primary education (ISCED2011 level 1)","STAT_TEACH_DAY","Number of days of teaching per school year (teachers)",,,"0","Units",,,183,,
